Country,Continent,Model,Year,Actual,Forecast
Albania,Europe,ARIMA,2022,19017244116.7203,19515060119.47184
Albania,Europe,Prophet,2022,19017244116.7203,18594950573.82881
Albania,Europe,ARIMA,2023,23547180412.3404,19496287847.105938
Albania,Europe,Prophet,2023,23547180412.3404,19221795182.98426
Albania,Europe,ARIMA,2024,27177735527.5667,19482950506.290165
Albania,Europe,Prophet,2024,27177735527.5667,19794883518.08026
Algeria,Africa,ARIMA,2022,225638456572.143,182191880593.11072
Algeria,Africa,Prophet,2022,225638456572.143,238568549965.246
Algeria,Africa,ARIMA,2023,247626161016.414,177617701313.72266
Algeria,Africa,Prophet,2023,247626161016.414,245816412290.86752
Algeria,Africa,ARIMA,2024,263619794506.723,174473426903.53748
Algeria,Africa,Prophet,2024,263619794506.723,252315167167.80713
American Samoa,Australia,ARIMA,2022,871000000.0,726889618.6624967
American Samoa,Australia,Prophet,2022,871000000.0,707521958.2513177
Andorra,Europe,ARIMA,2022,3380612573.32922,3771506770.5243435
Andorra,Europe,Prophet,2022,3380612573.32922,3563230247.836471
Andorra,Europe,ARIMA,2023,3785067331.7625,3739533391.7403035
Andorra,Europe,Prophet,2023,3785067331.7625,3601654531.8515234
Andorra,Europe,ARIMA,2024,4039844390.22543,3881816844.378712
Andorra,Europe,Prophet,2024,4039844390.22543,3634080603.826634
Argentina,South America,ARIMA,2022,632790070063.124,465696289395.2412
Argentina,South America,Prophet,2022,632790070063.124,622617814202.006
Argentina,South America,ARIMA,2023,646075277525.125,504266542886.9903
Argentina,South America,Prophet,2023,646075277525.125,633015904879.8035
Argentina,South America,ARIMA,2024,633266692533.689,468628474919.76965
Argentina,South America,Prophet,2024,633266692533.689,642626178011.9854
Armenia,Asia,ARIMA,2022,19513506553.1251,14280324003.317535
Armenia,Asia,Prophet,2022,19513506553.1251,15239756990.336689
Armenia,Asia,ARIMA,2023,24085749592.3359,14177105416.883934
Armenia,Asia,Prophet,2023,24085749592.3359,15924902719.097036
Armenia,Asia,ARIMA,2024,25786585949.6346,14093221842.596798
Armenia,Asia,Prophet,2024,25786585949.6346,16576148686.60885
Australia,Australia,ARIMA,2022,1690858246994.43,1586852943781.5598
Australia,Australia,Prophet,2022,1690858246994.43,1730951805521.1626
Australia,Australia,ARIMA,2023,1728057316695.61,1525198750056.5745
Australia,Australia,Prophet,2023,1728057316695.61,1777366554999.86
Australia,Australia,ARIMA,2024,1752193307380.34,1491198676068.5195
Australia,Australia,Prophet,2024,1752193307380.34,1819593442621.022
Austria,Europe,ARIMA,2022,471773629830.381,486355630306.4095
Austria,Europe,Prophet,2022,471773629830.381,503353309687.9739
Austria,Europe,ARIMA,2023,511685203845.001,479070965007.91095
Austria,Europe,Prophet,2023,511685203845.001,513185054268.88196
Austria,Europe,ARIMA,2024,521642466921.745,478478514914.7728
Austria,Europe,Prophet,2024,521642466921.745,521588458303.6679
Azerbaijan,Asia,ARIMA,2022,78807470588.2353,64298242151.89976
Azerbaijan,Asia,Prophet,2022,78807470588.2353,68997173280.08365
Azerbaijan,Asia,ARIMA,2023,72428470588.2353,63918826406.51379
Azerbaijan,Asia,Prophet,2023,72428470588.2353,70232151002.4869
Azerbaijan,Asia,ARIMA,2024,74315882352.9412,63997865217.27465
Azerbaijan,Asia,Prophet,2024,74315882352.9412,71281882777.72115
Bangladesh,Asia,ARIMA,2022,460131689083.083,454850363480.3502
Bangladesh,Asia,Prophet,2022,460131689083.083,359153526253.6504
Bangladesh,Asia,ARIMA,2023,437415333018.291,495448053292.45966
Bangladesh,Asia,Prophet,2023,437415333018.291,371401161116.2902
Bangladesh,Asia,ARIMA,2024,450119424622.389,538339388975.19556
Bangladesh,Asia,Prophet,2024,450119424622.389,386065155985.7266
Belarus,Europe,ARIMA,2022,73775179924.603,77140873914.7839
Belarus,Europe,Prophet,2022,73775179924.603,79634355303.7239
Belarus,Europe,ARIMA,2023,72478760370.4258,81120895028.24905
Belarus,Europe,Prophet,2023,72478760370.4258,80845786014.31017
Belarus,Europe,ARIMA,2024,75961865471.9129,84145276038.40512
Belarus,Europe,Prophet,2024,75961865471.9129,81728880499.51938
Belgium,Europe,ARIMA,2022,593614574325.878,573635241428.0787
Belgium,Europe,Prophet,2022,593614574325.878,614039616114.7697
Belgium,Europe,ARIMA,2023,644655275111.58,531127678550.15625
Belgium,Europe,Prophet,2023,644655275111.58,624612565129.2051
Belgium,Europe,ARIMA,2024,664564181486.953,512908072443.1611
Belgium,Europe,Prophet,2024,664564181486.953,633531378065.1522
Bermuda,North America,ARIMA,2022,7874381000.0,7220642630.083761
