country,continent,n_observations,n_train,n_test,arima_mae,arima_rmse,arima_mape,prophet_mae,prophet_rmse,prophet_mape
Albania,Europe,26,22,3,4081164529.7541795,5028825836.161263,16.044612215115997,4043510260.578022,4946170000.201437,15.918223973926818
Algeria,Africa,26,22,3,67533801094.96972,70085339054.34494,27.11435050610284,8681489819.188446,9970909434.880163,3.5831727380072786
American Samoa,Australia,26,20,1,144110381.3375033,144110381.3375033,16.545393953789127,163478041.74868226,163478041.74868226,18.769005941295323
Andorra,Europe,26,22,3,198151894.35467926,244843023.41235,5.559177994127732,257264753.6056746,277869106.2150835,6.763883407791793
Argentina,South America,26,22,3,157846910973.3123,158256955041.1015,24.784460499689555,10863704661.578653,10979100928.762543,1.7022775840436302
Armenia,Asia,26,22,3,8945063610.765778,9350618395.50534,37.767994467344565,7215011233.017674,7521004179.186446,30.500634776596748
Australia,Australia,26,22,3,189286167054.57544,200072402502.05945,10.928485863270597,52267644023.88818,53484180364.98911,3.0237534100056913
Austria,Europe,26,22,3,30120063773.363567,32349394974.58875,5.91313351311494,11044512966.516989,18253115242.179905,2.33243126919861
Azerbaijan,Asia,26,22,3,11112296584.574537,11392881279.248947,14.681337677712833,5013538823.040039,6062752576.71808,6.521135354533249
Bangladesh,Asia,26,22,3,50511336743.236,61042201612.08814,11.33807003208595,77015534456.03192,78861502206.69995,17.089290499287078
Belarus,Europe,26,22,3,6730413071.498795,7141022241.931153,9.086275081034845,6664405350.203918,6772383051.219962,9.026009039336614
Belgium,Europe,26,22,3,95054346167.67165,109980701844.09169,14.59889448484015,23833518397.689087,24371619038.899105,3.7398325657281357
Bermuda,North America,26,22,3,1037611966.1949297,1085746659.5007958,12.072627026686327,399921413.0340045,453897171.4946608,4.594796694080306
Bhutan,Asia,26,22,2,322026247.07566524,322176372.2031544,10.881649000192171,187004470.97346163,187034882.13284463,6.325384572454566
Bolivia,South America,26,22,3,3932042285.765246,4369803404.103986,8.309186192554998,1516805594.7942302,1599655256.078181,3.2305737425782124
Bosnia and Herzegovina,Europe,26,22,3,1661034693.5286777,1892588175.7517471,6.002859783093947,2434519391.3106904,2752314394.296427,8.80595434716219
Brazil,South America,26,22,3,278668923509.9533,308644704938.47095,12.918034625529721,364017247191.79865,373699533387.62604,17.535923729427232
Brunei Darussalam,Asia,26,22,3,1908591555.7927067,1996321822.9778118,11.985991920273612,1312637486.9385445,1496666659.0404127,8.535158353599078
Bulgaria,Europe,26,22,3,12239605142.414587,15249334686.740385,11.33349293230466,19516888737.380646,20874354509.61601,18.689082734722508
Cambodia,Asia,26,22,3,2702496365.7873435,3450790715.3423247,6.02147098020524,688789057.0404587,1053199127.3068534,1.5128522795988364
Canada,North America,26,22,3,136428636789.31389,142892720034.83786,6.192865675584432,111813390316.02881,113876427914.43913,5.070779732953748
Channel Islands,Europe,26,21,2,279944708.8228073,302937853.61738586,2.4059467527190037,707382177.8766031,902865593.0170918,5.717525521332614
Chile,South America,26,22,3,26138195940.23527,27240789634.428246,8.240647437318515,22306305201.530537,25575516298.003147,7.121850232849135
China,Asia,26,22,3,4179302372210.654,4280502895421.7817,22.620613044484546,1078005706935.4596,1092979917287.7599,5.848058094527136
Colombia,South America,26,22,3,68961793227.16785,80457094737.50394,17.552389603491527,33053709042.79834,36878224820.11122,9.171250708281283
Croatia,Europe,26,22,3,12023873379.779474,14964713262.046606,13.51020955476843,10872360723.489786,13486151832.074345,12.226287331935879
Cyprus,Asia,26,22,3,2131706850.046107,2361343029.4701366,6.29462683732666,3570771722.870046,3996201775.953913,10.282680175214951
Czechia,Europe,26,22,3,35054248665.30322,40446474173.18233,10.275116971139656,33144845130.047546,36493386900.4478,9.792039293791122
